,web-scraper-order,web-scraper-start-url,Book_name,price,condition,image-src
0,1543863142-2716,https://www.rulistings.com/Books,"Advanced Accounting, ISBN: 9780134472140 13th edition",50,Very Good condition,https://rulistingsprod.blob.core.windows.net/rutgers/43aeae7a-8ddd-467b-ae2e-43ea94f3c45c_1515528953038thumb.jpg
1,1543863142-2168,https://www.rulistings.com/Books,"Public Health, The Development of a Discipline  1st edition",70,Very Good condition,https://rulistingsprod.blob.core.windows.net/rutgers/11d28a3b-46fb-44bc-9fe5-c142edddb9ce_1515201066889thumb.jpg
2,1543863142-1703,https://www.rulistings.com/Books,New humanities reader 5th edition,40,New condition,https://rulistingsprod.blob.core.windows.net/rutgers/57aa117b-1413-4753-8619-cc1e33a67c6b_1504711024358thumb.jpg
3,1543863142-1434,https://www.rulistings.com/Books,Principles of Supply Chain Management 3rd edition,130,Acceptable condition,https://rulistingsprod.blob.core.windows.net/rutgers/2b5813bd-40b4-49f7-960d-18079b1d4c41_1504750363848thumb.jpg
4,1543863142-2200,https://www.rulistings.com/Books,Calculus Sixth Edition Chapters 1-5 6th edition,6,Acceptable condition,https://rulistingsprod.blob.core.windows.net/rutgers/40cff89f-9216-448a-9ec4-725b47c38a7c_1530388803274thumb.jpg
5,1543863142-1717,https://www.rulistings.com/Books,Design and Analysis of Experiments 8th edition,58,Like New condition,https://rulistingsprod.blob.core.windows.net/rutgers/9a33ab12-62fd-48e9-a780-e7d1ef12a2cb_1515185754583thumb.jpg
6,1543863142-2050,https://www.rulistings.com/Books,Macroscale & Microscale Organic Experiments 6th edition,6,Good condition,https://rulistingsprod.blob.core.windows.net/rutgers/5059aada-c54d-40bf-b054-17031cf25433_1500073622520thumb.jpg
7,1543863142-1887,https://www.rulistings.com/Books,Statistics for Business and Economics PDF 12th edition,65,Like New condition,https://rulistingsprod.blob.core.windows.net/rutgers/3351ad42-39bf-49c5-87a3-1359ad412a13_1505133232826thumb.jpg
8,1543863142-1982,https://www.rulistings.com/Books,Business Continuity from Preparedness to Recovery 1st edition,80,Good condition,https://rulistingsprod.blob.core.windows.net/rutgers/e7709305-a00e-4b1f-9356-0f27c4b19fff_1503507888949thumb.jpg
9,1543863142-2259,https://www.rulistings.com/Books,Jon Rogawski's Calculus (Multivariable/ Early Transcendentals) 2nd edition,55,Like New condition,https://rulistingsprod.blob.core.windows.net/rutgers/4c6176c0-47ff-48fe-84ba-b76048a8a751_1516427219659thumb.jpg
